# gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2017-03-12,False,1.0,0.789641696307,0.456299666333,0.19790373503,0.071711275903,0.03362927079,0.016904120247,True,2567,Southern Methodist,88.43,East,6
mens,2017-03-12,False,1.0,0.83087963062,0.419265450409,0.165322582089,0.090313293305,0.041477263396,0.016654491228,True,66,Iowa State,87.92,Midwest,5
mens,2017-03-12,False,1.0,0.903498884911,0.460614314735,0.188426522511,0.064282634939,0.028869538874,0.013981917848,True,239,Baylor,87.66,East,3
mens,2017-03-12,False,1.0,0.922453144793,0.612530910515,0.210819509714,0.065982422402,0.029510769901,0.011540625553,True,2483,Oregon,87.3,Midwest,3
mens,2017-03-12,False,1.0,0.890205906066,0.620125611105,0.231390822307,0.086281939129,0.03298443953,0.011023811185,True,2086,Butler,86.52,South,4
mens,2017-03-12,False,1.0,0.874918052377,0.443570125101,0.126505910179,0.057340558778,0.023554631132,0.010564921073,True,57,Florida,87.84,East,4
mens,2017-03-12,False,1.0,0.875459337424,0.619948031905,0.22357992729,0.069806578734,0.024619697152,0.010309221563,True,52,Florida State,87.22,West,3
mens,2017-03-12,False,1.0,0.627992312948,0.258161872287,0.101708915376,0.053018996819,0.023916960307,0.009401519555,True,2132,Cincinnati,87.35,South,6
mens,2017-03-12,False,1.0,0.789798040939,0.176214196887,0.091755651982,0.044102419263,0.019314220584,0.009153820938,True,275,Wisconsin,87.84,East,8
mens,2017-03-12,False,1.0,0.633435389742,0.229701754006,0.136026185555,0.05006435897,0.02132403061,0.007944688185,True,130,Michigan,86.86,Midwest,7
mens,2017-03-12,False,1.0,0.754708167214,0.276810125446,0.082734021215,0.038876176976,0.014374156817,0.006257399573,True,87,Notre Dame,86.68,West,5
mens,2017-03-12,False,1.0,0.560859158665,0.219366215263,0.082632247491,0.028122710754,0.010679373557,0.003554227056,True,156,Creighton,84.43,Midwest,6
mens,2017-03-12,False,1.0,0.366564610258,0.09996370017,0.057101230454,0.020032276899,0.008217015256,0.002949715924,True,197,Oklahoma State,84.71,Midwest,10
mens,2017-03-12,False,1.0,0.551241404307,0.111588464088,0.040975026465,0.015984554481,0.005821238964,0.001859809763,True,2390,Miami (FL),84.56,Midwest,8
mens,2017-03-12,False,1.0,0.505738239006,0.101191930091,0.053221267147,0.017318660989,0.005918175836,0.001774559915,True,8,Arkansas,83.19,South,8
mens,2017-03-12,False,1.0,0.545707184069,0.089275728202,0.032689651797,0.012532032674,0.003773357545,0.00138565857,True,238,Vanderbilt,83.79,West,9
mens,2017-03-12,False,1.0,0.439140841335,0.153258665386,0.046331760938,0.012863550512,0.00447323601,0.001366309429,True,227,Rhode Island,84.02,Midwest,11
mens,2017-03-12,True,0.476091175108,0.187298816901,0.063258468563,0.019092152503,0.008213585615,0.003287543793,0.001148989896,True,2306,Kansas State,83.08,South,11a
mens,2017-03-12,False,1.0,0.567264572844,0.12788435314,0.046432448692,0.010826562453,0.003178218256,0.001064459181,True,2579,South Carolina,83.08,East,7
mens,2017-03-12,False,1.0,0.494261760994,0.097550713421,0.045016707606,0.012438020197,0.003803672652,0.001025090597,True,2550,Seton Hall,82.95,South,9
mens,2017-03-12,False,1.0,0.307641690529,0.07009654386,0.028488468994,0.010813929867,0.003539775209,0.001018350194,True,2168,Dayton,82.84,South,7
mens,2017-03-12,False,1.0,0.432735427156,0.086480328392,0.034046864364,0.008658089906,0.0027747141,0.00100354284,True,269,Marquette,83.01,East,10
mens,2017-03-12,False,1.0,0.448758595693,0.080259936463,0.027907106531,0.010376899402,0.003360842366,0.000958077274,True,127,Michigan State,82.79,Midwest,9
mens,2017-03-12,True,0.523908824892,0.18470887015,0.056508128199,0.016560447912,0.00697118243,0.002540491816,0.000810580661,True,154,Wake Forest,82.96,South,11b
mens,2017-03-12,False,1.0,0.494281725361,0.167199602047,0.0423734949,0.009472802949,0.002451708864,0.000792492824,True,2752,Xavier,82.34,West,11
mens,2017-03-12,False,1.0,0.262229212342,0.076255128254,0.036011588151,0.0085286792,0.002317090225,0.000780417821,True,2670,Virginia Commonwealth,82.93,West,10
mens,2017-03-12,False,1.0,0.480437759474,0.164411499669,0.043759257843,0.011922664868,0.003240088977,0.000779884627,True,2393,Middle Tennessee,81.28,South,12
mens,2017-03-12,False,1.0,0.505718274639,0.172976794701,0.042858486997,0.009379023543,0.002365913402,0.000748237926,True,120,Maryland,82.48,West,6
mens,2017-03-12,False,1.0,0.454292815931,0.066373981917,0.022163655145,0.007824092234,0.002139142037,0.000724341309,True,77,Northwestern,82.6,West,8
mens,2017-03-12,False,1.0,0.519562240526,0.184583116675,0.042529634298,0.010122564752,0.002831157322,0.000700461249,True,135,Minnesota,81.23,South,5
mens,2017-03-12,True,0.582211116433,0.123028397137,0.040913089093,0.012438687038,0.003137787071,0.000915610712,0.000305046777,True,2507,Providence,81.75,East,11a
mens,2017-03-12,True,0.417788883567,0.087329906556,0.028813693554,0.008298096714,0.001981911693,0.000735993165,0.000302564161,True,30,Southern California,81.18,East,11b
mens,2017-03-12,False,1.0,0.16912036938,0.038797278455,0.00687363904,0.00198600633,0.000661835825,0.000193962041,True,2440,Nevada,80.73,Midwest,12
mens,2017-03-12,False,1.0,0.245291832786,0.049146791543,0.007350411388,0.001982721266,0.000409038123,0.000108797491,True,163,Princeton,80.0,West,12
mens,2017-03-12,False,1.0,0.155233088499,0.042110696367,0.005987617471,0.001578643986,0.0003736028,0.0001033947,True,350,North Carolina-Wilmington,80.19,East,12
mens,2017-03-12,False,1.0,0.210201959061,0.019472191078,0.005276095318,0.001366767145,0.000321385246,0.000088433903,True,259,Virginia Tech,80.02,East,9
mens,2017-03-12,False,1.0,0.140303688987,0.03580835808,0.005502939477,0.001404734306,0.000332617909,0.000070069399,True,261,Vermont,79.49,Midwest,13
mens,2017-03-12,False,1.0,0.098170484964,0.028442092542,0.003276056528,0.000703305804,0.000115270637,0.000025042199,True,2083,Bucknell,77.93,West,13
mens,2017-03-12,False,1.0,0.125081947623,0.022741487972,0.002467301527,0.000516806894,0.000100943835,0.000023507114,True,2193,East Tennessee State,78.05,East,13
mens,2017-03-12,False,1.0,0.109794093934,0.03087977255,0.003895310877,0.000522190787,0.000078059028,0.000010602074,True,2737,Winthrop,75.53,South,13
mens,2017-03-12,False,1.0,0.124540662576,0.039875571347,0.004390241339,0.00044342743,0.000055080776,0.000009323274,True,526,Florida Gulf Coast,75.81,West,14
mens,2017-03-12,False,1.0,0.096501115089,0.013359236284,0.001667678121,0.000172057783,0.000032634423,0.000007400083,True,166,New Mexico State,75.6,East,14
mens,2017-03-12,False,1.0,0.077546855207,0.014844208835,0.001650843228,0.000180558859,0.000027325321,0.000003735142,True,314,Iona,75.49,Midwest,14
mens,2017-03-12,False,1.0,0.058276357424,0.00753264321,0.00063485288,0.000095967627,0.000012897036,0.000001581086,True,2309,Kent State,74.27,South,14
mens,2017-03-12,False,1.0,0.033096505656,0.005765631309,0.000669860458,0.000049033071,0.000005266558,7.05748E-7,True,2653,Troy,73.28,East,15
mens,2017-03-12,False,1.0,0.033193621198,0.003763286015,0.000472341308,0.000061523435,0.000006851955,7.00612E-7,True,94,Northern Kentucky,72.83,South,15
mens,2017-03-12,False,1.0,0.023204369319,0.00414701157,0.000447293487,0.000055355855,0.000005225237,6.87039E-7,True,2571,South Dakota State,72.79,West,16
mens,2017-03-12,False,1.0,0.047498365035,0.004918122371,0.000812417756,0.000058861889,0.000005111259,6.21795E-7,True,155,North Dakota,72.33,West,15
mens,2017-03-12,False,1.0,0.020724660504,0.002532643833,0.000345020296,0.000025118358,0.000002344799,2.02034E-7,True,2640,Texas Southern,70.99,South,16
mens,2017-03-12,False,1.0,0.026181881497,0.002149023352,0.000258836074,0.000016908122,0.000001540458,1.2846E-7,True,55,Jacksonville State,71.17,Midwest,15
mens,2017-03-12,True,0.629059916282,0.013628353268,0.001809113897,0.000152018074,0.000015225362,0.00000145912,1.27847E-7,True,2428,North Carolina Central,71.04,Midwest,16a
mens,2017-03-12,True,0.370940083718,0.006759610686,0.000769684133,0.00005459549,0.000004644096,5.191E-7,5.2854E-8,True,302,UC-Davis,69.94,Midwest,16b
mens,2017-03-12,True,0.555249525225,0.007791272305,0.000756286162,0.000058984082,0.000004636532,3.34888E-7,3.0784E-8,True,116,Mount St. Mary's,69.78,East,16a
mens,2017-03-12,True,0.444750474775,0.004576725946,0.000336019184,0.000024186507,0.000001758081,1.35056E-7,1.3169E-8,True,2443,New Orleans,69.24,East,16b
